"subject","category","info","answer"
"1","taxicab","1",106
"1","taxicab","3",132
"1","taxicab","10",190
"2","taxicab","1",148
"2","taxicab","3",181
"2","taxicab","10",64
"3","taxicab","1",57
"3","taxicab","3",173
"3","taxicab","10",197
"4","taxicab","1",126
"4","taxicab","3",136
"4","taxicab","10",173
"5","taxicab","1",149
"5","taxicab","3",93
"5","taxicab","10",118
"6","taxicab","1",75
"6","taxicab","3",74
"6","taxicab","10",119
"7","taxicab","1",93
"7","taxicab","3",64
"7","taxicab","10",142
"8","taxicab","1",173
"8","taxicab","3",76
"8","taxicab","10",87
"9","taxicab","1",175
"9","taxicab","3",150
"9","taxicab","10",95
"10","taxicab","1",182
"10","taxicab","3",181
"10","taxicab","10",97
"11","taxicab","1",169
"11","taxicab","3",133
"11","taxicab","10",116
"12","taxicab","1",170
"12","taxicab","3",181
"12","taxicab","10",100
"13","taxicab","1",176
"13","taxicab","3",51
"13","taxicab","10",152
"14","taxicab","1",181
"14","taxicab","3",169
"14","taxicab","10",113
"15","taxicab","1",96
"15","taxicab","3",115
"15","taxicab","10",120
"16","taxicab","1",52
"16","taxicab","3",161
"16","taxicab","10",84
"17","taxicab","1",122
"17","taxicab","3",130
"17","taxicab","10",89
"18","taxicab","1",53
"18","taxicab","3",63
"18","taxicab","10",146
"19","taxicab","1",110
"19","taxicab","3",148
"19","taxicab","10",151
"20","taxicab","1",173
"20","taxicab","3",174
"20","taxicab","10",71
"21","taxicab","1",159
"21","taxicab","3",68
"21","taxicab","10",51
"22","taxicab","1",197
"22","taxicab","3",103
"22","taxicab","10",107
"23","taxicab","1",147
"23","taxicab","3",197
"23","taxicab","10",157
"24","taxicab","1",199
"24","taxicab","3",113
"24","taxicab","10",197
"25","taxicab","1",93
"25","taxicab","3",131
"25","taxicab","10",134
"26","taxicab","1",191
"26","taxicab","3",185
"26","taxicab","10",120
"27","taxicab","1",86
"27","taxicab","3",171
"27","taxicab","10",61
"28","taxicab","1",101
"28","taxicab","3",159
"28","taxicab","10",116
"29","taxicab","1",169
"29","taxicab","3",192
"29","taxicab","10",135
